From,To
1424378_at,ldlrap1
1451435_at,CUX1
1453089_at,3110079O15Rik
1417448_at,1810008A18Rik
1427523_at,six3
1418778_at,CCDC109B
1448178_a_at,Cct3
1433918_at,atg4d
1418305_s_at,Gar1
1418124_at,TMEM85
1449821_a_at,LOC100047915
1449821_a_at,memo1
1436336_at,PTRH1
1417180_at,pcsk7
1460649_at,Irak1
1415805_at,clpS
1416953_at,CTGF
1421472_at,SRRM3
1436820_at,KCTD11
1452091_a_at,RBM28
1426235_a_at,GLUL
1426235_a_at,Gm4949
1420355_at,GRK4
1437626_at,ZFP36L2
1450870_at,RALA
1426530_a_at,klhl5
1448690_at,KCNK1
1452454_at,SDAD1
1452454_at,LOC100044125
1427670_a_at,TCF12
1419704_at,Cyp3a41a
1419704_at,Cyp3a41b
1421113_at,PGA5
1422536_at,TNNI3
1424577_at,msto1
1424112_at,Igf2r
1423744_x_at,Gm2223
1423744_x_at,LOC100048746
1423744_x_at,EIF2s3X
1423987_at,Gm9174
1423987_at,CDC26
1450920_at,CCNB2
1453175_at,ZBTB25
1422294_at,Xcr1
1420187_at,C76628
1425518_at,Rapgef4
1448842_at,CDO1
1416768_at,1110003E01Rik
1424088_at,Myg1
1416389_a_at,rcbtb2
1449074_at,1700019N12Rik
1425681_a_at,Prnd
1422221_at,LOC100046086
1448093_s_at,C77405
1425041_at,lhx3
1418700_at,LIAS
1426944_at,FBXW8
1423182_at,TNFRSF13B
1426212_s_at,tmem161a
1417020_at,SPATA4
1452812_at,LPHN1
1431721_a_at,PROZ
1455388_at,PCMTD1
1452380_at,EPHA7
1449683_x_at,Tubb2a-ps2
1449683_x_at,tubb2b
1425220_x_at,Tcstv1
1425220_x_at,LOC100038937
1425220_x_at,Tcstv3
1425220_x_at,LOC236220
1425220_x_at,AF067061
1425220_x_at,LOC100045354
1425220_x_at,LOC100038935
1448730_at,CPA3
1419153_at,Gm15428
1419153_at,2810417H13Rik
1419153_at,Gm9171
1456136_at,KIFC1
1456136_at,LOC100044006
1456136_at,LOC100044746
1456136_at,Gm4137
1436889_at,Gabra1
1448879_at,LOC100045901
1448879_at,Gm10145
1448879_at,Gm5858
1448879_at,Gm7423
1448879_at,Gm15267
1448879_at,Gm9057
1448879_at,Gm10705
1448879_at,Gm6562
1448879_at,ube2l3
1448879_at,Gm3076
1434143_at,ATMIN
1426619_at,AIM2
1455076_a_at,4933424B01Rik
1447983_at,Zfml
1438680_at,AUTS2
1460670_at,Riok3
1434703_at,extl3
1460190_at,AP1M2
1451960_a_at,REV3L
1424305_at,Igj
1433878_at,MRPS26
1452561_at,LPHN3
1424289_at,OSGIN2
1417242_at,Eif4a3
1417242_at,Gm5580
1417242_at,Gm5576
1417242_at,Gm8994
1417242_at,LOC641170
1448972_at,LOC100044431
1448972_at,GRIA1
1449300_at,CTTNBP2NL
1421744_at,TNFSF4
1421948_a_at,CCDC123
1421948_a_at,LOC636311
1420682_at,Chrnb1
1452203_at,OBFC2A
1455035_s_at,Gm5243
1455035_s_at,Nop56
1422109_at,RFX1
1421760_at,PTCRA
1450386_at,kpna3
1418323_at,fem1b
1422542_at,GPR34
1436528_at,kazald1
1450047_at,HS6ST2
1417011_at,SDC2
1417104_at,emp3
1417409_at,Jun
1416642_a_at,Gm1974
1416642_a_at,TPT1P
1416642_a_at,TPT1
1416642_a_at,Gm14456
1439964_at,TMEM170
1450614_x_at,IFNA5
1416571_at,TRAF4
1460301_at,Vmn1r62
1460301_at,Vmn1r186
1460301_at,Vmn1r60
1460301_at,LOC434526
1416309_at,NUSAP1
1427953_at,fanci
1417609_at,UBE2A
1418085_at,Prkcz
1417546_at,il2rb
1418352_at,HSD17B2
1425250_a_at,SLC14A2
1421365_at,Fst
1450515_at,Kcnj11
1423811_at,sf3a3
1417191_at,dnajb9
1417191_at,Gm6568
1415954_at,PRSS1
1450187_a_at,galT
1447935_at,FANCM
1428122_s_at,Fam125b
1428122_s_at,LOC100047480
1436791_at,WNT5A
1422255_at,KCNA4
1425786_a_at,HSF4
1438554_x_at,eif4h
1460673_at,FPGS
1449877_s_at,KIFC1
1449877_s_at,LOC100044006
1449877_s_at,LOC100044746
1449877_s_at,Gm4137
1434227_at,Krtdap
1426253_at,PACRGL
1449316_at,Cyp4f15
1434970_a_at,mrpl15
1449962_at,Gm15023
1419653_a_at,Gm12183
1419653_a_at,DDX5
1418916_a_at,spp2
1460699_at,Gm4180
1460699_at,Gm9846
1460699_at,Gm4525
1460699_at,rps27
1460699_at,Gm15531
1417898_a_at,GZMA
1418143_at,vps45
1417125_at,ahcY
1417125_at,LOC677344
1429219_at,ikbip
1426303_at,B4GALT7
1419426_s_at,Ccl21a
1419426_s_at,Gm1987
1452248_at,PLEKHG5
1452276_at,Smarcad1
1427002_s_at,ARSG
1460438_at,lysmd1
1460438_at,LOC100044319
1422807_at,LOC100046958
1422807_at,arf5
1437401_at,Igf1
1419122_at,mettl1
1423085_at,Efnb3
1427926_at,MAML2
1416521_at,SEPW1
1425341_at,KCNK3
1420204_at,mogs
1455434_a_at,Ktn1
1451513_x_at,Serpina1a
1423265_at,MINPP1
1423265_at,Gm12818
1424000_a_at,rps11
1424000_a_at,Gm6202
1424000_a_at,LOC675517
1424000_a_at,Gm11741
1424000_a_at,Gm6394
1436198_at,2310075K07Rik
1428578_s_at,Ppfia4
1448179_at,USMG5
1417647_at,snx5
1449919_at,Krtap6-2
1431270_a_at,ASTE1
1423235_at,AP3B1
1452178_at,PLEC
1451599_at,SESN2
1419041_at,ITFG1
1417173_at,ATF6B
1451810_at,orf63
1428238_at,LOC100046298
1428238_at,akirin2
1426834_s_at,D930015E06Rik
1426669_at,CPPED1
1449236_at,DLL3
1427440_a_at,AFM
1428442_at,BC029722
1423725_at,PLS3
1422770_at,RAD51L3
1431848_at,ANGPTL2
1460543_x_at,Gm4149
1460543_x_at,Gm14251
1460543_x_at,Gm14173
1460543_x_at,Gm4613
1460543_x_at,RPL37A
1452304_a_at,arhgef5
1419380_at,Zfp423
1419380_at,LOC100046333
1420804_s_at,CLEC4D
1434517_at,WDFY2
1423545_a_at,Zfp207
1423055_at,Nsg1
1423526_at,Arid3b
1424735_at,Slc25a25
1420735_at,GABRR2
1435030_at,Upf2
1426479_a_at,CNPY3
1426517_at,GNAZ
1454750_a_at,Dcaf15
1425305_at,Zfp295
1425738_at,LOC100047222
1425738_at,Igk-V21-7
1416009_at,TSPAN3
1449140_at,NUDCD2
1422096_at,LOC100045417
1420757_at,MYF5
1418656_at,Gm7846
1418656_at,LSM5
1418656_at,LOC100046579
1418656_at,LOC100044729
1418051_at,EPHB6
1444959_at,D1Ertd83e
1427435_at,LOC100047577
1427435_at,CYB5B
1419801_x_at,EML5
1435821_s_at,PPP1R8
1417214_at,RAB27B
1425737_at,2510016G02Rik
1450274_at,Gprc2a-rs5
1450274_at,Vmn2r-ps60
1450274_at,Vmn2r-ps57
1450274_at,Vmn2r61
1450274_at,Vmn2r60
1451813_at,oprk1
1432431_s_at,macrod2
1432431_s_at,Gm2348
1418013_at,Nat8b
1418013_at,Cml1
1448912_at,C1qtnf1
1420397_a_at,spen
1420525_a_at,OTC
1438696_at,Edn3
1450348_at,SLC19A3
1427119_at,Spink4
1448421_s_at,aspn
1448211_at,Atp6v0e2
1418478_at,LMO1
1455832_a_at,UMPS
1455505_at,GATAD2A
1455505_at,LOC100047029
1421696_at,LOC100126676
1449151_at,Cdk18
1426886_at,Cln5
1421623_at,IL12RB2
1426974_at,OS9
1450288_at,CDH6
1421406_at,ENTPD7
1460374_at,ADAM2
1451643_a_at,RAB4B
1436643_x_at,Hamp2
1415934_at,Cops8
1425888_at,Klra17b
1425888_at,Klra17
1418959_at,TMPRSS5
1454778_x_at,Gm3511
1454778_x_at,RPS28
1454778_x_at,LOC100044740
1454778_x_at,Gm16417
1454778_x_at,Gm12943
1454778_x_at,LOC100047305
1454778_x_at,Gm13192
1454778_x_at,LOC100047282
1454778_x_at,Gm10263
1454778_x_at,Gm10443
1433756_at,S100PBP
1417285_a_at,NDUFA5
1460338_a_at,CRLF3
1453788_at,Lef1
1427573_at,CHIC1
1424916_x_at,Zfp764
1423448_at,RAB11B
1448213_at,ANXA1
1452525_a_at,NF1
1421112_at,NKX2-2
1418357_at,foxg1
1418357_at,LOC100047726
1418357_at,3110039M20Rik
1421203_at,Chrna4
1418509_at,CBR2
1421286_a_at,ATP4A
1416469_at,LUZP1
1448307_at,PSMG1
1418455_at,copz2
1429295_s_at,Trip13
1421739_a_at,matK
1450088_a_at,MOBP
1452038_at,CAPZA1
1452038_at,Gm5920
1452038_at,LOC632682
1452038_at,Gm3608
1423139_at,wdr4
1419552_at,echdc1
1424929_a_at,TRIM26
1422501_s_at,idh3a
1433581_at,1190002N15Rik
1433581_at,LOC100044725
1424357_at,tmem45b
1452562_at,KDM5D
1419480_at,SELL
1455883_a_at,Lrrtm1
1416678_at,Cops3
1416226_at,ARPC1B
1419336_at,Lcn5
1424838_at,A330049M08Rik
1449456_a_at,Cma1
1421279_at,LAMC2
1418989_at,CTSE
1420600_at,TPO
1439479_at,Lct
1427324_at,TMEM120B
1420718_at,Odz2
1421729_a_at,Fert2
1426119_at,Tyms-ps
1450642_at,secisbp2l
1423217_a_at,Fam32a
1460450_at,AMMECR1L
1419225_at,CACNA2D3
1424356_a_at,metrnl
1421768_a_at,HOMER1
1418556_at,CAPZA3
1451171_at,2310008H04Rik
1434637_x_at,Sin3b
1452625_at,KCTD2
1424073_at,5430437P03Rik
1418779_at,Rce1
1417272_at,FAM114A1
1422210_at,FOXD3
1422844_a_at,WDR77
1422844_a_at,Gm15528
1424908_at,Mtfmt
1450475_at,DLX3
1434010_at,LOC100045775
1434010_at,fam117b
1438291_x_at,LOC100047207
1438291_x_at,Gm12967
1438291_x_at,Gm4468
1449282_at,CYSLTR1
1425704_at,DHRS11
1427217_at,Zfp455
1449487_at,CCDC70
1421428_at,SLC5A7
1416292_at,prdx3
1419248_at,RGS2
1417575_at,OTUB2
1425010_at,Zfp119
1417248_at,RALBP1
1427407_s_at,Trip11
1450178_at,brdt
1449947_s_at,ZFHX3
1455008_at,LOC100048021
1455008_at,Gna12
1451331_at,PPP1R1B
1454860_x_at,DAD1
1451808_at,KCNJ4
1420377_at,ST8SIA2
1424364_a_at,Gm6293
1424364_a_at,Uqcr10
1425889_at,WNT9A
1418058_at,ELTD1
1423838_s_at,2400003C14Rik
1426216_at,COG6
1421599_at,HS6ST3
1450307_x_at,H2afy3
1426064_at,Cyp3a44
1454454_at,ELAVL2
1422482_at,RUVBL2
1418706_at,Slc38a3
1437615_s_at,VPS37C
1434901_at,Gm13294
1434901_at,ZBTB2
1448745_s_at,LOR
1420729_at,Tcstv1
1420729_at,LOC100038937
1420729_at,Tcstv3
1420729_at,LOC236220
1420729_at,AF067061
1420729_at,LOC100045354
1420729_at,LOC100038935
1435519_at,LOC100048397
1435519_at,Rap1b
1418335_a_at,DPH1
1451823_at,Clca4
1415760_s_at,atox1
1450102_a_at,LOC100046262
1448195_at,TAF5L
1427004_at,Fbxo2
1428784_at,GMIP
1448334_a_at,CCNI
1418224_at,SEC11A
1437120_at,Snx30
1424743_at,JMJD8
1416398_at,Mesdc1
1448697_s_at,RPL36A
1448697_s_at,LOC100048339
1448697_s_at,Gm10077
1448697_s_at,Gm8001
1448697_s_at,Gm6525
1448697_s_at,Gm10316
1448697_s_at,Gm8697
1448697_s_at,Gm2718
1448697_s_at,Gm11970
1448697_s_at,LOC675869
1448697_s_at,Gm9409
1448697_s_at,RPL36AL
1416223_at,SH3BP5L
1451298_at,Plekhh3
1421501_a_at,LOC100048600
1421501_a_at,ERC1
1425651_at,Nhej1
1421089_a_at,2610028A01Rik
1418084_at,NRP1
1448589_at,Ndufb5
1434469_at,OTUD4
1431464_a_at,PMM2
1424041_s_at,LOC100044326
1423909_at,Tmem176a
1424322_at,apex2
1423706_a_at,PGD
1420354_at,CNNM1
1415683_at,NMT1
1417322_at,Dohh
1420156_at,AA408954
1416107_at,Nsg2
1428052_a_at,ZMYM1
1421486_at,EGR3
1422002_at,MXD1
1460739_at,Zmiz2
1417743_at,CLK2
1435331_at,LOC100048304
1419602_at,hoxa2
1416434_at,Bcl2l10
1448854_s_at,Mug-ps1
1437993_x_at,QDPR
1437993_x_at,LOC100045858
1427879_at,1810031K17Rik
1418123_at,UNC119
1419732_at,RTN4R
1417906_at,Gm3676
1417906_at,Gm3573
1417906_at,1700001F09Rik
1417906_at,Gm4181
1417906_at,Gm10376
1417906_at,Gm3486
1417906_at,Gm10377
1417906_at,BC061237
1417906_at,Gm3543
1424776_a_at,slc25a28
1421316_at,Lce1g
1450555_at,Tex13
1427522_at,ARHGAP20
1434850_at,Iqgap3
1415897_a_at,mgst1
1432480_a_at,LOC100044557
1432480_a_at,CNTD1
1426327_s_at,ZFP91
1426327_s_at,CNTF
1426327_s_at,Zfp91-Cntf
1450273_at,Il1rl2
1422918_at,Gm2663
1422918_at,1810009J06Rik
1427393_at,F9
1427038_at,Penk
1421978_at,GAD2
1419310_s_at,rfxank
1451118_a_at,FAM53A
1448892_at,DOCK7
1418042_a_at,abcc5
1420693_at,myom1
1416085_s_at,ZFAND5
1416085_s_at,LOC100047896
1422467_at,PPT1
1449968_s_at,acot9
1435528_at,DNLZ
1427859_at,Igk-V19-14
1422762_at,KIF17
1438616_x_at,Svs5
1432384_a_at,Mettl6
1437472_at,UNC13A
1426459_s_at,AW549877
1452367_at,coro2a
1427801_at,Krtap16-9
1420810_at,LOC100048622
1420810_at,1500003O03Rik
1419148_at,AVIL
1422647_at,RING1
1419400_at,Mttp
1451030_at,Akr1c21
1416626_at,PLA2G1B
1416806_at,fdxr
1416798_a_at,NME4
1451976_s_at,Cmtm2a
1427968_at,Tgif2lx1
1427968_at,Tgif2lx2
1451097_at,Vasp
1426959_at,BDH1
1422692_at,LOC100046149
1422692_at,sub1
1460637_s_at,PFDN5
1417422_at,Gnmt
1418620_at,PHOX2A
1425164_a_at,phkg1
1449465_at,RELN
1418091_at,Tcfcp2l1
1439455_x_at,CAPZA1
1439455_x_at,Gm5920
1439455_x_at,LOC632682
1439455_x_at,Gm3608
1420193_at,KRT17
1417976_at,ada
1440874_at,slco5a1
1417234_at,MMP11
1424679_at,mab21l1
1448485_at,ggt1
1422984_at,CLIP2
1448562_at,upp1
1425295_at,Ear11
1425678_a_at,Snrk
1425678_a_at,LOC100044493
1425678_a_at,Gm3193
1423873_at,LSM1
1450693_at,RGS17
1420412_at,TNFSF10
1428648_at,CAND1
1435816_at,Gm6476
1435816_at,Gm11263
1435816_at,LOC676494
1435816_at,RPS6
1435816_at,Gm16409
1435816_at,Gm8779
1435816_at,LOC639593
1435816_at,Gm4796
1435816_at,Gm14138
1435816_at,LOC623245
1435816_at,Gm5618
1435816_at,Gm8172
1435816_at,Gm8925
1435816_at,Gm13654
1449665_at,4833422M21Rik
1422147_a_at,pla2g6
1449232_at,gata1
1426724_at,Gm4815
1426724_at,cnn3
1426724_at,LOC100047856
1423516_a_at,NID2
1419528_at,LOC100043194
1419528_at,C730007P19Rik
1419528_at,sult2a1
1448214_at,LOC100044400
1422564_at,ACTL6B
1422356_at,Vmn1r41
1421844_at,il1rap
1436032_at,Ccar1
1420543_at,DNAJC28
1450754_at,LOC100046259
1450754_at,CACNA2D2
1416479_a_at,TMEM14C
1416844_at,PRMT2
1452596_at,POLR2K
1452596_at,LOC100046796
1438483_at,NOS1
1450063_at,LOC100044570
1420281_at,Col9a3
1419914_s_at,LOC100047601
1450118_a_at,TNNT3
1452406_x_at,Erdr1
1434518_at,PHKA2
1422055_at,LOC671548
1422055_at,MID1
1448763_at,ATAD1
1422370_at,Olfr49
1450128_at,Pla2g2a
1415715_at,tmem129
1450840_a_at,Gm12013
1450840_a_at,RPL39
1450840_a_at,Gm15148
1425799_at,FMO4
1424212_at,9430023L20Rik
1450287_at,Npas3
1427719_s_at,Krt82
1417026_at,PFDN1
1420884_at,Sln
1436851_at,Ptger1
1451900_at,MFN2
1451900_at,LOC100044767
1430290_at,Gm14166
1430290_at,Gm11968
1430290_at,Gm7263
1430290_at,LOC100045504
1430290_at,Gm10196
1430290_at,RPS15A
1430290_at,Gm13253
1430290_at,Gm13048
1430290_at,Gm5623
1430290_at,LOC676847
1434044_at,REPIN1
1418937_at,dio2
1457379_at,PI4KA
1419820_at,PKHD1
1415813_at,API5
1421616_at,GRIN2A
1421616_at,LOC100045356
1418275_a_at,ELF2
1424606_at,CPLX3
1436822_x_at,Gm8358
1436822_x_at,Gm8371
1436822_x_at,LOC545379
1436822_x_at,Gm10294
1436822_x_at,Gm8081
1436822_x_at,LOC100041933
1436822_x_at,LOC100046300
1436822_x_at,Gm10362
1436822_x_at,RpL17
1436822_x_at,Gm3800
1436822_x_at,Gm8776
1436822_x_at,Gm10164
1436822_x_at,LOC100045527
1436822_x_at,LOC100047874
1436822_x_at,Gm10223
1436822_x_at,Gm7299
1436822_x_at,LOC100048228
1425818_at,4930520O04Rik
1425044_at,Kcnj6
1419131_at,F13B
1452453_a_at,Camk2a
1433941_at,INPP5J
1454698_at,ptplad1
1421405_at,Zim1
1426209_at,STRN4
1418657_at,Ino80b
1418050_at,Gpld1
1423856_at,POPDC3
1449785_at,AA414993
1435857_s_at,Aplp1
1416244_a_at,CNBP
1451600_s_at,Gm4738
1451600_s_at,Es31
1423533_a_at,RHOT1
1420124_s_at,tctA
1419998_at,C330027C09Rik
1448913_at,SMARCD1
1416478_a_at,mdh2
1426049_a_at,Terf2ip
1452016_at,ALOX5AP
1424645_at,TNRC6C
1422816_a_at,Mutyh
1417273_at,PDK4
1448770_a_at,Atpif1
1418174_at,dbp
1428728_at,ddx51
1416236_a_at,MPZL2
1417590_at,Cyp27a1
1448414_at,RAD1
1423726_at,vat1
1451255_at,lsr
1435011_x_at,Akr1a4
1416590_a_at,RAB34
1422005_at,EIF2AK2
1450604_at,Olfr140
1420333_at,TXNDC8
1417249_at,POLM
1451064_a_at,LOC100047252
1451064_a_at,PSAT1
1421855_at,FGL2
1447427_at,Gm2717
1417485_at,IBSP
1417485_at,LOC100046052
1451479_a_at,TMEM53
1426937_at,6330406I15Rik
1425330_a_at,PPM1B
1425330_a_at,LOC100048520
1419697_at,CXCL11
1417633_at,SOD3
1424520_at,2010305A19Rik
1419543_a_at,TRA2B
1419543_a_at,Gm6439
1448835_at,e2f6
1425231_a_at,Zfp46
1443428_at,D8Ertd67e
1418881_at,Necab2
1451861_at,NXNL2
1450907_at,Gm14045
1450907_at,spcs2
1420572_at,MS4A3
1430694_at,STAR
1460197_a_at,STEAP4
1433521_at,Ankrd13c
1452395_at,MED19
1421153_at,Loxl4
1418787_at,Mbl2
1424965_at,Lpxn
1416041_at,SGK1
1428485_at,CAR12
1427557_at,Alg12
1449237_at,Aloxe3
1419375_at,WBP4
1457455_at,Zfp280d
1434320_at,GTF3C4
1418477_at,MATN1
1416137_at,Anxa7
1427483_at,slc25a24
1417884_at,SLC16A6
1452591_a_at,Fam128b
1451393_at,PEX26
1426973_at,GPR153
1426082_a_at,SLC16A4
1426469_a_at,TBP
1423563_at,Prrt1
1423264_at,BOP1
1448784_at,taf10
1448784_at,Gm4799
1433510_x_at,Gm7703
1433510_x_at,Gm13611
1433510_x_at,LOC100048508
1433510_x_at,Gm9437
1433510_x_at,Gm5614
1433510_x_at,Gm4604
1433510_x_at,LOC637553
1433510_x_at,Gm9416
1433510_x_at,rpl36
1449630_s_at,MARK1
1428786_at,NCKAP1L
1448497_at,ercc3
1460318_at,Csrp3
1435783_at,FAM169A
1423349_at,SOCS5
1427507_at,Hist3h2a
1429739_a_at,PATZ1
1415935_at,SMOC2
1422256_at,Sstr2
1420637_at,prps2
1451728_at,WDR13
1420471_at,HCRT
1421810_at,DGCR2
1435347_at,STAU1
1448549_a_at,DPAGT1
1425613_at,PCDHA6
1425613_at,PCDHA7
1425613_at,LOC100046214
1425613_at,PCDHA9
1425613_at,PCDHA2
1425613_at,PCDHA5
1425613_at,PCDHA1
1425613_at,Pcdha4
1425613_at,PCDHAC2
1425613_at,PCDHAC1
1425613_at,Pcdha@
1425613_at,PCDHA10
1425613_at,PCDHA11
1425613_at,PCDHA12
1425613_at,LOC100046137
1425870_a_at,Kcnip2
1417987_at,BTD
1449897_a_at,MTCP1
1423814_at,DDX41
1417106_at,TPD52L2
1415963_at,Hnrnph2
1419259_at,rsu1
1418831_at,PKP3
1460551_at,LOC100045999
1460551_at,Rasl2-9
1460551_at,Ran
1460551_at,LOC640204
1424258_at,Polr2d
1432103_a_at,SH3GL3
1424537_at,LOC100044046
1424537_at,Gm10921
1424537_at,Gm3701
1424537_at,Gm2863
1424537_at,Gm2964
1424537_at,Gm2799
1424537_at,GMCL1L
1424537_at,Gm2927
1424537_at,Gm14374
1424537_at,Gm2784
1424537_at,Gm2825
1424537_at,Gm14345
1424537_at,Gm14367
1424537_at,Gm14346
1424537_at,Gm14347
1424537_at,Gm2849
1424537_at,Gm3706
1424537_at,Gm14351
1424537_at,Gm2933
1424537_at,Gm3763
1424537_at,Gm3750
1424537_at,LOC100048813
1424537_at,Gm2913
1424537_at,Gm2777
1416907_at,TSN
1420302_at,AA414903
1450777_at,XRN2
1415746_at,Cic
1429638_at,wrnip1
1436782_at,Svs3b
1418679_at,Gzmf
1416326_at,crip1
1419353_at,DPM1
1451365_at,Rbm19
1427959_at,ABHD10
1423306_at,2010002N04Rik
1422790_at,Nppc
1429428_at,Tcf7l2
1434299_x_at,rabl4
1450397_at,Mtap1b
1456037_x_at,PREB
1437976_x_at,LOC100046821
1437976_x_at,Gm8137
1437976_x_at,Gm5384
1437976_x_at,Gm3362
1437976_x_at,LOC677025
1437976_x_at,Gm8158
1437976_x_at,Gm10335
1437976_x_at,Gm6118
1437976_x_at,Gm6233
1437976_x_at,Gm10132
1437976_x_at,Gm6177
1437976_x_at,Gm8112
1437976_x_at,Gm3174
1437976_x_at,Gm7413
1437976_x_at,Gm5351
1437976_x_at,Gm7065
1437976_x_at,Gm7755
1437976_x_at,Gm8264
1437976_x_at,Rpl23a
1425813_at,Pign
1425560_a_at,S100a16
1449374_at,PIPOX
1426126_a_at,TMEM149
1431816_at,Tex9
1427529_at,FZD9
1417542_at,RPS6KA2
1417542_at,LOC100048858
1422466_at,nxn
1427173_a_at,mRpS33
1427173_a_at,Gm12540
1422361_at,Tlm
1427547_a_at,SLC26A3
1423189_at,6720456B07Rik
1451883_at,BC002189
1448890_at,klf2
1429514_at,Ppap2b
1460227_at,TIMP1
1416440_at,CD164
1426175_a_at,Tpsab1
1433717_at,D19Wsu162e
1460375_at,Trmt112-ps
1460375_at,Gm13072
1460375_at,TRMT112
1426166_at,Mup5
1425646_at,BC016495
1423086_at,npc1
1418530_at,NUP160
1426847_at,SIRT4
1448685_at,2900010M23Rik
1448685_at,LOC675054
1449965_at,Mcpt8
1426858_at,LOC100046802
1420462_at,IL1RAPL2
1449046_a_at,josd2
1416142_at,Gm6476
1416142_at,Gm11263
1416142_at,LOC676494
1416142_at,RPS6
1416142_at,Gm16409
1416142_at,Gm8779
1416142_at,LOC639593
1416142_at,Gm4796
1416142_at,Gm14138
1416142_at,LOC623245
1416142_at,Gm5618
1416142_at,Gm8172
1416142_at,Gm8925
1416142_at,Gm13654
1423673_at,LDOC1L
1427657_at,CCDC134
1438632_x_at,tnp1
1418859_at,RFXAP
1448986_x_at,CSAD
1448266_at,Gm11964
1448266_at,EDF1
1460629_at,Trim16
1460629_at,Fbxw10
1421746_a_at,FBXO17
1421746_a_at,LOC100047462
1430853_a_at,Pear1
1421710_at,ZFP92
1448032_at,AZI2
1422995_at,Bmf
1425425_a_at,Wif1
1419487_at,MYBPH
1426599_a_at,slc2a1
1422144_at,INHBE
1428093_at,TRABD
1429527_a_at,LOC677340
1429527_a_at,Gm5530
1429527_a_at,plscr1
1433439_at,CPNE1
1417387_at,med31
1452086_at,trmt5
1421364_at,LRFN1
1423559_at,Kcnc1
1450349_at,STX1B
1455264_at,Fam132a
1449329_at,Zfp235
1424432_at,ubtd1
1422108_at,Ppp1r3a
1436255_at,D830044I16Rik
1453030_at,MSL2
1421695_at,STRC
1420809_a_at,LOC100048622
1420809_a_at,1500003O03Rik
1426317_at,STARD6
1426586_at,Slc25a11
1449076_x_at,ADI1
1425792_a_at,Rorc
1429758_at,SEPT14
1429758_at,1700017B05Rik
1456647_a_at,EYA4
1427357_at,cda
1425566_at,REST
1419043_a_at,iigp1
1419043_a_at,Iigp1b
1430522_a_at,vamp5
1427290_at,KRT81
1451583_a_at,Mmgt2
1423784_at,Gars
1424293_s_at,Tmem55a
1434056_a_at,NDUFB6
1451504_at,CHCHD3
1451504_at,LOC100046321
1421028_a_at,MEF2C
1453613_at,A130006I12Rik
1456481_at,ESYT3
1427893_a_at,PMVK
1437432_a_at,Trim12
1423515_at,SCN8A
1419525_at,Car5a
1448670_at,LOC100047012
1448670_at,Ube2e3
1428054_at,SLC8A2
1423815_at,ddx56
1427974_s_at,Cacna1d
1450002_at,gsx1
1449624_at,SEL1L2
1416535_at,MCRS1
1416535_at,Gm13127
1418915_at,MMACHC
1451873_a_at,Smad5
1419136_at,Akr1c18
1418396_at,GPSM3
1435129_at,Gm13422
1435129_at,ptp4a2
1449590_a_at,mras
1416585_at,Ruvbl1
1423914_at,C630004H02Rik
1423914_at,LOC100043986
1422499_at,LIMA1
1426735_at,iars2
1426735_at,LOC636969
1448283_a_at,UBA2
1433430_s_at,CDC23
1436566_at,rab40b
1435006_s_at,ABCB7
1450004_at,TSLP
1436187_at,1110054M08Rik
1426713_s_at,LOC633677
1426713_s_at,eprs
1419387_s_at,Muc13
1421580_at,CNTNAP1
1423079_a_at,Gm14494
1423079_a_at,Gm7758
1423079_a_at,TOMM20
1423079_a_at,LOC673754
1423079_a_at,LOC100044630
1451903_at,Kynu
1417407_at,FBXL14
1452382_at,Dnm3os
1417114_at,GMCL1
1423309_at,TGOLN2
1423309_at,Tgoln1
1418801_at,ZKSCAN1
1423777_at,USP20
1434016_at,znrf2
1448940_at,LOC100045519
1448940_at,TRIM21
1425278_at,ube4a
1424182_at,ACAT1
1438968_x_at,Spint2
1438114_x_at,Efs
1425848_a_at,DUSP26
1417541_at,Hells
1416431_at,TUBB6
1423703_at,ppan
1426809_at,Tprn
1448192_s_at,Gm5081
1448192_s_at,Prps1l1
1448192_s_at,PRPS1
1448208_at,SMAD1
1428369_s_at,ARHGAP21
1423484_at,4930533K18Rik
1423711_at,NDUFAF1
1420680_at,Cts8
1429555_at,CLDND1
1423047_at,tollip
1431170_at,LOC100046031
1431170_at,EFNA3
1422605_at,ppp1r1a
1422965_at,Agtrap
1416496_at,Mrfap1
1416496_at,Gm5814
1421294_at,HDGFL1
1418709_at,COX7A1
1449229_a_at,CDKL2
1449347_a_at,Xlr4a
1418603_at,AVPR1A
1424018_at,HINT1
1426658_x_at,Gm5207
1426658_x_at,LOC630896
1426658_x_at,LOC675010
1426658_x_at,Gm7669
1426658_x_at,Gm9252
1426658_x_at,Gm13337
1426658_x_at,Gm6756
1426658_x_at,Gm9210
1426658_x_at,PHGDH
1426658_x_at,Gm7901
1426658_x_at,Gm9347
1426658_x_at,Gm5847
1426658_x_at,Gm8096
1426658_x_at,Gm8341
1425886_at,Fev
1423348_at,Fzd8
1437696_at,BC049807
1452223_s_at,Gcap14
1425012_at,Gm3150
1425012_at,LOC100048410
1425012_at,LOC100044852
1425012_at,Gm4356
1425012_at,LOC100044719
1425012_at,Gm3785
1425012_at,Gm15776
1425012_at,LOC100048847
1425012_at,Gm6825
1425012_at,Gm13342
1425012_at,LOC100048366
1425012_at,gng5
1451581_at,SAPS2
1455030_at,PTPRJ
1455030_at,Gm13767
1455030_at,Gm13768
1435862_at,SON
