From,To
1437226_x_at,MARCKSL1
1420110_s_at,Zfp334
1422326_at,G6pd2
1460243_at,Sptlc2
1438164_x_at,FLOT2
1430292_a_at,1810030N24Rik
1438174_x_at,PPP2R1A
1451983_at,Irx1
1436926_at,esrrb
1422906_at,Abcg2
1426958_at,rps9
1426958_at,Gm5905
1417280_at,Slc17a1
1420278_at,BC048599
1431624_a_at,Rnf219
1428282_at,TBCE
1421493_a_at,RGS20
1429016_at,Ankzf1
1417591_at,PTGES2
1427809_at,LPHN3
1435055_a_at,TOM1
1435055_a_at,Gm5884
1416880_at,mcl1
1452669_at,FAM53C
1421747_at,esrrg
1452767_at,RRBP1
1450646_at,cyp51
1453621_at,LOC100044696
1420714_at,LBX2
1426595_at,SLC18A1
1422376_at,Vmn1r50
1450541_at,PVT1
1419252_at,EPS15
1450174_at,PTPRT
1426034_a_at,Runx2
1416272_at,MAPKSP1
1416272_at,LOC637657
1416272_at,Gm5900
1419645_at,cstf2
1455844_at,CABLES1
1424543_at,NCK1
1450135_at,fzd3
1424560_at,PSTPIP1
1418273_a_at,Gm8808
1418273_a_at,Gm2648
1418273_a_at,Gm6109
1418273_a_at,Gm4091
1418273_a_at,Gm6570
1418273_a_at,LOC100046810
1418273_a_at,Gm9703
1418273_a_at,Gm4483
1418273_a_at,Gm7429
1418273_a_at,RpL30
1418273_a_at,Rpl30-ps2
1418273_a_at,Gm12191
1450814_a_at,IPO4
1451212_at,CCDC21
1434121_at,Lgi4
1427384_at,Gm8291
1427384_at,CHD6
1460371_at,Hspa12b
1418665_at,Impa2
1451595_a_at,KCNQ2
1451819_at,Zswim6
1428255_at,LUC7L
1437537_at,Casp9
1438537_at,Got2
1436272_at,RAB3GAP2
1451526_at,ARHGAP12
1450667_a_at,CS
1421387_at,kremen1
1423327_at,Rpl39l
1438999_a_at,NFAT5
1451406_a_at,PCSK5
1418090_at,Plvap
1427363_at,Myo10
1427345_a_at,sult1a1
1450598_at,Vmn1r47
1417941_at,NANP
1452584_at,1500032L24Rik
1420253_at,D2Ertd63e
1427791_a_at,Adam1a
1422152_at,HMX1
1446856_at,D3Wsu167e
1431900_a_at,FOXA3
1436297_a_at,grina
1425388_a_at,TPK1
1427946_s_at,DPYD
1423605_a_at,mdm2
1434612_s_at,Sbno1
1418450_at,ISLR
1450691_at,caskin2
1448239_at,hmox1
1417297_at,ITPR3
1417714_x_at,Hba-a1
1417714_x_at,Hba-a2
1421466_at,Asb10
1418159_at,Tcfcp2
1422994_at,Pikfyve
1434692_at,1110034B05Rik
1436462_at,Gm4631
1436462_at,Gm14308
1436462_at,0610010B08Rik
1436462_at,OTTMUSG00000016609
1436462_at,Gm2007
1436462_at,Gm14434
1436462_at,Gm4724
1436462_at,Gm14410
1436462_at,Gm14430
1436462_at,Gm14326
1436462_at,Gm6710
1436462_at,100043387
1417149_at,P4HA2
1426943_at,INTS1
1423664_at,QDPR
1423664_at,LOC100045858
1448343_a_at,NBR1
1425143_a_at,NDUFS1
1450064_at,LOC100044570
1426157_a_at,Cd209b
1425700_at,LOC100045018
1425700_at,GRM1
1460672_at,Gm5856
1425136_x_at,DNM2
1428379_at,SLC17A6
1452439_s_at,SFRS2
1426572_at,ME2
1429352_at,MOCOS
1416733_at,MKLN1
1448499_a_at,Ephx2
1418830_at,LOC100047815
1421884_at,SOS1
1424137_at,GPRIN1
1455339_at,FKBP15
1438245_at,NFIB
1418925_at,celsr1
1449493_at,INSL5
1421049_at,0610009O20Rik
1450321_at,Zfp354c
1435866_s_at,Hist3h2a
1419167_at,Prap1
1449064_at,tdh
1449064_at,Gm13929
1418652_at,Cxcl9
1421451_at,Crb1
1422330_at,LOC100044318
1422330_at,GLP1R
1455696_a_at,prpf4b
1422056_at,NTN3
1452334_at,CENPF
1423409_a_at,2500003M10Rik
1423409_a_at,Gm6365
1431810_a_at,TMCO4
1427535_s_at,Obsl1
1423063_at,DNMT3A
1416254_a_at,VPS16
1424252_at,HNRPDL
1426511_at,Susd2
1419537_at,Tcfec
1420850_at,CRNKL1
1455486_at,PIAS1
1425931_a_at,LOC634943
1425931_a_at,ARNTL2
1449244_at,CDH2
1449244_at,LOC100044363
1427963_s_at,rdh9
1448723_at,Rdh7
1449583_at,Pcdhb20
1417341_a_at,Gm2802
1417341_a_at,LOC639433
1417341_a_at,Gm7749
1417341_a_at,Ppp1r2
1417341_a_at,Gm2780
1417341_a_at,Gm5490
1420724_at,1700067P10Rik
1415707_at,ANAPC2
1451139_at,SLC39A4
1421856_at,S100a3
1450742_at,bysl
1428088_at,2410002I01Rik
1448621_a_at,SMPD1
1418135_at,AFF1
1427619_a_at,SH3TC1
1456097_a_at,ITGB3BP
1456097_a_at,LOC100045517
1456097_a_at,Gm3507
1419075_s_at,SAA1
1450864_at,Gm7308
