Sample_id
PC400_1
PC400_2
PC400_3
Y+MCx_1
Y+MCx_2
Y+MCx_3
Y+SSCx_1
Y+SSCx_2
Y+SSCx_3
A9_13_Chee_S1_M430A
A9_14_b_Chee_S2_M430A
A9_14_Chee_S2_M430A
A9_15_Chee_S1_M430A
A9_17_Chee_S1_M430A
A10_15_Chee_S1_M430A
A10_16_Chee_S1_M430A
A10_17_Chee_S1_M430A
A10_18_Chee_S1_M430A
A10_19_Chee_S1_M430A
v2_GSM337817
v2_GSM337818
v2_GSM337819
v2_GSM337821
v2_GSM337822
v2_GSM337823
v2_GSM337837
v2_GSM337838
v2_GSM337839
v2_GSM337769
v2_GSM337770
v2_GSM337771
v2_GSM337773
v2_GSM337774
v2_GSM337775
v2_GSM337779
v2_GSM337780
v2_GSM337781
v2_GSM337785
v2_GSM337786
v2_GSM337787
v2_GSM337791
v2_GSM337792
v2_GSM337793
v2_GSM337804
v2_GSM337805
v2_GSM337806
v2_GSM337807
v2_GSM337808
v2_GSM337809
v2_GSM337812
v2_GSM337813
v2_GSM337814
v2_GSM337825
v2_GSM337826
v2_GSM337827
v2_GSM337828
v2_GSM337829
v2_GSM337830
v2_GSM337831
v2_GSM337832
v2_GSM337833
v2_GSM337834
v2_GSM337835
v2_GSM337836
v2_GSM337796
v2_GSM337797
v2_GSM337798
v2_GSM337800
v2_GSM337801
v2_GSM337802
v2_GSM337841
v2_GSM337842
v2_GSM337843
v2_GSM337844
v2_GSM337845
v2_GSM337846
v2_GSM337848
v2_GSM337849
v2_GSM337850
v2_GSM337851
v2_GSM337852
v2_GSM337853
v2_GSM337857
v2_GSM337858
v2_GSM337859
v2_GSM337861
v2_GSM337862
v2_GSM337863
v2_GSM337760
v2_GSM337761
v2_GSM337762
v2_GSM337763
v2_GSM337764
v2_GSM337766
v2_GSM337767
v2_GSM241898
v2_GSM241900
v2_GSM241902
v2_GSM241912
v2_GSM241914
v2_GSM241926
v2_GSM241915
v2_GSM241925
v2_GSM241899
v2_GSM241901
v2_GSM241903
v2_GSM241896
v2_GSM241904
v2_GSM241890
v2_GSM241893
v2_GSM241894
v2_GSM241918
v2_GSM241889
v2_GSM241891
v2_GSM241892
v2_GSM241917
v2_GSM241895
v2_GSM241916
GSM37084
GSM37085
GSM37086
GSM37087
GSM37088
GSM37089
GSM37092
GSM37093
GSM37094
GSM37095
GSM37096
GSM37097
GSM37098
GSM37099
GSM37100
y105cg
y57cg
y74cg
y34si
y50si
y56si
b27cg
b36cg
b37cg
y111a
y120a
y90a
y104h
y43h
y81h
v2_yrt2-wt
v2_yrt2-wt1
v2_yrt3-wt
v2_yrt6-wt
v2_th118LC
v2_th34LC
v2_th52LC
v2_cbw60
v2_cbw73
v2_cbw87
v2_cbw87b
s44am
s61am
s63am
s51cg
s61cg
s64cg
s41si
s54si
s66si
g32cg
g46cg
g48cg
g29h
g35h
g49h
h35cg
h43cg
h51cg
h38blg
h38lg
h48lg_1
v2_H52P7
v2_H65P7
v2_H85P7
v2_H47P10
v2_H71P10
v2_H72P10
v2_H34P13
v2_rhwj1
v2_rhwj2
v2_H48P25
v2_H53P25
v2_H55P25
v2_rhw38
v2_rhw54
v2_rhw60
