Symbol,Affi_ID
EG434373 /// LOC100046628 /// Npm1,1415839_a_at
Elovl5,1415840_at
Dync1i2,1415841_at
Gbl,1415842_at
Sema4a,1448110_at
Syt4,1415844_at
Ctps2,1448111_at
Ldhc,1415847_at
Atg12,1451747_a_at
Ppp1ca,1460165_at
Prl3d1 /// Prl3d2,1415848_at
LOC100039888 /// LOC623112 /// Stmn1,1448113_at
Stmn1,1415849_s_at
Rasa3,1415850_at
Impdh2 /// LOC100042069,1415851_a_at
Htf9c,1448114_a_at
Def8,1415853_at
Uba1,1448116_at
Kitl,1415855_at
Emb,1415856_at
Eif3c,1415859_at
Slc3a2,1425364_a_at
Kpna2 /// LOC100039592 /// LOC100043906 /// LOC100046251,1415860_at
Ahsg,1455093_a_at
Ctsd,1448118_a_at
Bpgm,1415865_s_at
Unc45a,1415866_at
Gdf9,1448120_at
Cct4,1415867_at
Trim28,1415869_a_at
Wbp2,1448121_at
Ldb1,1452024_a_at
Tcp1,1448122_at
Calu,1415870_at
Hnrph1,1415872_at
Actr1a,1415873_a_at
Gusb,1448124_at
LOC100046643 /// Spry1,1415874_at
Rit2,1448125_at
Tera,1448126_at
3010003L21Rik,1415875_at
Rps26,1415876_a_at
Rrm1,1415878_at
Rplp2,1415879_a_at
Ctsa,1448128_at
Lamp1,1415880_a_at
Arpc5,1448129_at
Ghitm,1415881_at
Ela3,1415884_at
Chgb,1415885_at
Sh2d3c,1415886_at
Nmd3,1448133_at
Tfg,1415887_at
X99384,1448134_at
Hdgf,1415888_at
Hsp90b1,1415889_a_at
Papss1,1415890_at
Tk2,1426100_a_at
Brp44l /// LOC100041649 /// LOC100047509,1453651_a_at
Suclg1,1415891_at
Sgpl1,1415892_at
Enpp2,1448136_at
LOC100046560 /// Maged2,1426306_a_at
Mgst1,1415897_a_at
Junb,1415899_at
Kit,1452514_a_at
Plod3,1415901_at
Aldh7a1,1460167_at
LOC100040123 /// LOC100046501 /// Rps17,1459986_a_at
Rps17,1455662_x_at
Slc38a1,1415903_at
LOC669888 /// Lpl,1431056_a_at
Lpl,1415904_at
Ppp2r4,1448138_at
Reg1,1415905_at
LOC100047211 /// Tmsb4x,1415906_at
Ccnd3,1415907_at
Tspyl1,1415908_at
Mlc1,1448139_at
Stip1,1415909_at
Ciapin1,1448140_at
1110014J01Rik,1448141_at
Impact,1415911_at
EG625298 /// EG628061 /// LOC100039924 /// LOC100044992 /// LOC100048340 /// LOC637251 /// Rps13,1415912_a_at
EG625298 /// LOC100039924 /// LOC100044992 /// LOC100048340 /// Rps13,1448142_x_at
Aldh2,1448143_at
Ddx1,1415915_at
Mthfd1,1415917_at
EG629732 /// LOC100039036 /// LOC100040298 /// LOC100043763 /// LOC100047156 /// LOC100048094 /// LOC621442 /// Rps8,1436760_a_at
Wwp2,1448146_at
Npdc1,1415919_at
Cstf2t,1415920_at
Tnfrsf19,1448147_at
Grn,1448148_at
Ctnna1,1448149_at
Nup62,1415925_a_at
Slbp,1460168_at
Elavl1,1448151_at
Actc1 /// LOC100048431,1415927_at
Map1lc3b,1415930_a_at
Igf2,1448152_at
Atp9a,1415932_x_at
Cox5a,1415933_a_at
Cops8,1415934_at
Ndrg2,1448154_at
Smoc2,1415935_at
Bcar3,1415936_at
Pdcd6ip,1449674_s_at
Spink3,1415938_at
LOC100041004 /// Tff1,1448156_at
Zfand2a,1415941_s_at
EG234703 /// EG434434 /// LOC100039720 /// LOC100041509 /// LOC100041555 /// LOC100043010 /// LOC100043346 /// LOC100043391 /// LOC100044426 /// LOC100046893 /// LOC100047432 /// LOC100048223 /// LOC100048266 /// LOC100048462 /// LOC638133 /// LOC665071 /// Rpl10,1415942_at
LOC100039720 /// LOC100041509 /// LOC100041555 /// LOC100043010 /// LOC100043346 /// LOC100043391 /// LOC100044426 /// LOC100046893 /// LOC100047432 /// LOC100048223 /// LOC100048266 /// LOC100048462 /// Rpl10,1448157_s_at
Ckb,1455106_a_at
Mcm5,1415945_at
Creg1,1415948_at
Cpe /// LOC100046434,1415949_at
1810049H19Rik /// EG436523 /// Prss1 /// Try10 /// Try4,1415954_at
Prm1,1415955_x_at
Pctk1,1415956_a_at
Rrp1,1427720_a_at
Slc2a4,1415959_at
Mpo,1415960_at
Itm2c,1415961_at
Hnrph2,1415963_at
Scd1,1415964_at
Kap,1415968_a_at
Marcks,1415973_at
Map2k2,1415974_at
Carhsp1,1415975_at
Isyna1,1415977_at
Tubb3,1415978_at
Atp5g2 /// LOC100039108 /// LOC100040342 /// LOC100043121 /// LOC100046598 /// LOC100047549,1415980_at
Herpud2,1415981_at
Rab7,1448159_at
Lcp1,1415983_at
Acadm,1415984_at
Sf3b3,1415985_at
Clcn4-2,1448161_a_at
Hdlbp,1419869_s_at
Vcam1,1448162_at
Gnpda1,1448163_at
Vdac2,1415990_at
Pigo,1415992_at
Sqle,1415993_at
Cyp2e1,1415994_at
EG666231 /// EG668343 /// LOC546355 /// LOC627245 /// LOC632337 /// LOC677259 /// Odc1,1438761_a_at
Casp2,1448165_at
Psmb1,1448166_a_at
Casp6,1415995_at
Ifngr1,1448167_at
Ext2,1460170_at
Spt1,1448168_a_at
Txnip,1415996_at
Krt18,1448169_at
Hey1,1415999_at
Prdx1,1416000_a_at
Siah2,1448170_at
Cldn11,1416003_at
Mdh1,1448172_at
Ywhah,1416004_at
Psmc1,1416005_at
Mdk,1416006_at
Satb1,1416008_at
Cul1,1448174_at
Tspan3,1416009_at
Ehd1,1416010_a_at
Pld3,1416013_at
Abce1,1416014_at
Hnrpk,1448176_a_at
Copg,1416017_at
Dr1,1416018_at
Atp5g1 /// LOC100041835 /// LOC100044706,1416020_a_at
Fabp5 /// LOC547041 /// LOC620603,1416021_a_at
Fabp5,1416022_at
Fabp3,1416023_at
Cct3,1448178_a_at
Fgg,1416025_at
LOC668706 /// Rpl12,1416026_a_at
Cops5,1460171_at
Pdcd6,1416027_at
Usmg5,1448179_at
Hn1,1448180_a_at
Klf15,1448181_at
Klf10,1416029_at
Mcm7,1416030_a_at
Emid2,1425310_a_at
Cd24a,1416034_at
Hif1a,1427418_a_at
1416035_at,1416035_at
Fkbp1a,1416036_at
Herpud1,1448185_at
Snd1,1416038_at
Cyr61,1438133_a_at
Lipf,1416040_at
Ucp2,1448188_at
Sgk1,1416041_at
LOC100043974 /// Nasp,1416042_s_at
Nasp,1416043_at
Flii,1448189_a_at
Smarcb1,1416045_a_at
Mrpl33,1448190_at
Fuca2,1416046_a_at
Phc2,1416048_at
Gldc,1416049_at
C2,1416051_at
Plk1,1448191_at
Prps1,1416052_at
AU021838 /// Prps1,1448192_s_at
Lrrn1,1416053_at
5730403B10Rik,1460172_at
Rps5,1416054_at
1810008N23Rik /// Amy2 /// Amy2-1 /// Amy2-2 /// LOC100043684 /// LOC100043686 /// LOC100043688,1416055_at
H19,1448194_a_at
LOC100048726 /// Sec23b,1416059_at
Taf5l,1448195_at
Mat2b,1448196_at
Tbc1d15,1416060_at
Ndufb8,1448198_a_at
Hspa5,1427464_s_at
Ankrd10,1448199_at
Tcn2,1448200_at
Cd9,1416066_at
Sfrp2,1448201_at
LOC100046650 /// Prelid1,1431420_s_at
Prelid1,1448202_x_at
Ifrd1,1416067_at
Kars /// LOC631033,1416068_at
Pfkp,1416069_at
Ddx18,1416070_a_at
Cd34,1416072_at
Atp5l /// LOC100040708 /// LOC100042348 /// LOC100047219,1448203_at
LOC100039731 /// LOC100042670 /// LOC100047349 /// LOC100048222 /// Rpl28,1416074_a_at
LOC100048168 /// Sav1,1448204_at
Ccnb1 /// Ccnb1-rs1,1448205_at
Ccnb1 /// Ccnb1-rs1 /// EG434175 /// LOC667005,1416076_at
Ccnb1 /// Ccnb1-rs1 /// EG434175 /// LOC231869 /// LOC635091 /// LOC667005,1449675_at
Adm,1416077_at
Psma2,1448206_at
Raf1,1425419_a_at
Arpc1a,1416079_a_at
Smad1,1448208_at
Slc22a17,1448209_a_at
Rab1,1448210_at
LOC100047896 /// Zfand5,1416085_s_at
Tpst2,1416086_at
Ap1s1,1416087_at
Atp6v0e2,1448211_at
Psmg2,1448212_at
LOC100046223 /// Rps15,1416089_at
Anxa1,1448213_at
LOC100044400 /// Pdhb,1416090_at
LOC100044400 /// LOC620009 /// Pdhb,1448214_at
Mrpl20,1416093_a_at
Adam9,1416094_at
Dpp3,1448215_a_at
AI413782,1416096_at
Lrrc4,1416097_at
Syngr3,1416098_at
EG621100 /// EG622236 /// LOC100039431 /// Rpl27,1448217_a_at
EG621100 /// LOC100039431 /// Rpl27,1416099_at
Eif3d,1416100_at
LOC100043062 /// LOC100044665 /// Ywhaz,1448219_a_at
Tsen34,1431593_a_at
Mpdu1,1416104_at
Kti12,1416106_at
Nsg2,1416107_at
Dexi,1460174_at
Ctrb1,1448220_at
Csrp1,1425811_a_at
Tmed3,1416108_a_at
Fuca1,1416109_at
Cd83,1416111_at
Cox8a,1448222_x_at
Fkbp8,1416113_at
Sparcl1,1416114_at
Fto,1448223_at
Orc3l,1416116_at
Trim59,1416118_at
Tfam,1448224_at
Txn1,1416119_at
Grb7,1448227_at
Lox,1416121_at
Ccnd2,1416122_at
Usp10,1448230_at
Fkbp5,1416125_at
Rpo1-2,1416126_at
EG626534 /// Tuba1c,1448232_x_at
Errfi1,1416129_at
Prnp,1448233_at
Efr3a,1416131_s_at
Mapk8ip1,1425679_a_at
Mmp2,1439364_a_at
Anxa7,1416137_at
Reg2,1416139_at
Dhx30,1416140_a_at
EG666577 /// LOC667739 /// Rps6,1416141_a_at
LOC667739 /// Rps6,1434377_x_at
Rps6,1416142_at
Atp5j,1416143_at
Dhx15,1416145_at
Olig1,1416149_at
Sfrs3,1416150_a_at
LOC100038875 /// LOC100046668 /// Rps23,1460175_at
Srp54a /// Srp54b /// Srp54c,1416153_at
Srp54a /// Srp54b,1416154_at
Hmgb3,1416155_at
Vcl,1416156_at
Nr2f2,1416158_at
Cops4,1416163_at
Fbln5,1416164_at
Rab31,1416165_at
Prdx4,1416166_a_at
Serpinf1,1416168_at
2310037I24Rik,1416171_at
Pes1,1416172_at
Rbbp9,1416174_at
Bcam,1424791_a_at
Vdac3,1416175_a_at
Hmgb1,1416176_at
4932431P20Rik /// EG432959 /// EG545555 /// Hmg1l1 /// Hmgb1 /// LOC100039558 /// LOC100039943 /// LOC100040234 /// LOC100041307 /// LOC100041386 /// LOC100041667 /// LOC100042447 /// LOC100042549 /// LOC100043427 /// LOC100043683 /// LOC100044845 /// LOC100044945 /// LOC100045414 /// LOC100045876 /// LOC100046260 /// LOC100046914 /// LOC100047080 /// LOC100048068 /// LOC100048470 /// LOC545506 /// LOC546331 /// LOC625467 /// LOC625781 /// LOC637733 /// LOC638585 /// LOC666011 /// LOC666969 /// LOC667879 /// LOC674379 /// LOC674543,1448235_s_at
EG433305 /// Hmg1l1 /// Hmgb1 /// LOC100039558 /// LOC100040413 /// LOC100041307 /// LOC100042447 /// LOC100043312 /// LOC100045384 /// LOC100045611 /// LOC100046019 /// LOC100046260 /// LOC100047080 /// LOC637733,1435324_x_at
Rbmxrt,1416177_at
Plekhb1,1416178_a_at
Rdx,1448236_at
Mesdc2,1416181_at
Apba3,1416182_at
Erp29,1453634_a_at
Hmga1,1416184_s_at
2700060E02Rik,1448238_at
Adh5,1416185_a_at
Hmox1,1448239_at
Pnrc2,1416186_at
Mbtps1,1448240_at
Gm2a,1448241_at
Sec61a1,1448242_at
Napa,1416192_at
Car1,1416193_at
Lypla1,1448244_at
Cyp4b1,1416194_at
RP23-136K12.4,1416195_at
LOC100040633 /// LOC100045332 /// LOC100048385 /// LOC636901 /// Rpsa,1448245_at
Rpsa,1416196_at
Hdac1,1448246_at
Snrpc,1416197_at
Th1l,1416198_at
Kifc3,1416199_at
Bcl7b /// LOC100040069 /// LOC100048278,1448247_at
Il33,1416200_at
Aqp1,1416203_at
Gpd1,1448249_at
Glb1,1416205_at
Sipa1,1416206_at
Taz,1416207_at
9030425E11Rik,1448251_at
Eef1b2,1448252_a_at
Glud1,1448253_at
Imp3,1416210_at
Ptn,1448254_at
Magoh,1416212_at
Surf4,1448255_a_at
Gosr1,1416215_at
Slc29a2,1448257_at
Reps1,1416216_at
LOC100042986 /// LOC100045996 /// Rpl37a,1416217_a_at
LOC100043732 /// LOC100047998 /// LOC629949 /// LOC640991 /// LOC665690 /// LOC675441 /// Rpl37a,1416218_x_at
LOC100041511 /// LOC100046041 /// Rpl19,1416219_at
Spcs1,1448258_a_at
Fstl1,1448259_at
Nsdhl,1416222_at
Sh3bp5l,1416223_at
Uchl1,1448260_at
Zbtb17,1416224_at
Adh1,1416225_at
Arpc1b,1416226_at
Arpc1b /// EG434782,1416227_at
Cdh1,1448261_at
Psmb2,1448262_at
Pin1,1416228_at
Cndp2,1460177_at
Vac14,1416231_at
Olig2,1416232_at
Eif3i,1448264_a_at
Lrrc59,1416235_at
Mpzl2,1416236_a_at
Tie1,1416238_at
Edf1,1448266_at
Ass1,1416239_at
Psmb7,1416240_at
Stx5a,1448267_at
Slc29a1,1451782_a_at
Sec13,1416241_at
Klhl13,1448269_a_at
LOC100038991 /// LOC100040823 /// LOC100043296 /// LOC100044559 /// LOC100048308 /// Rpl35,1416243_a_at
Cnbp,1416244_a_at
Aurkaip1,1416245_at
Dctn3,1416247_at
Ddx21,1448270_at
Nadk,1416248_at
Btg2,1416250_at
Stk38,1416252_at
Cdkn2d /// LOC100043858,1416253_at
Gss,1448273_at
Vps16,1416254_a_at
Gja4,1416255_at
Tubb5,1416256_a_at
C1qbp,1448274_at
Capn2,1416257_at
Tk1,1416258_at
Lonp2,1460178_at
Pex12,1416259_at
Snx1,1416260_a_at
Tmem19,1416261_at
Abcb9,1416263_at
Pdyn,1416266_at
Tspan4,1448276_at
Pold2,1448277_at
Ets2,1416268_at
Mtx2,1430500_s_at
Atp5j2,1416269_at
Arpc3,1448279_at
Polr2g,1416270_at
Atp6v1e1,1449712_s_at
Syp,1448280_at
Perp,1416271_at
Map2k1ip1,1416272_at
Tnfaip2,1416273_at
Ctns,1416274_at
Slc26a6,1416275_at
LOC100047206 /// LOC545429 /// Rps4x,1416276_a_at
Rplp1,1416277_a_at
RP23-395H4.4,1448281_a_at
Atp5o /// LOC100047429,1416278_a_at
Plrg1,1448282_at
Ap1b1,1416279_at
Uba2,1448283_a_at
Wdr45l,1416281_at
Psmc3,1416282_at
Ndufc1,1448284_a_at
Rgs4,1416287_at
Dnaja1,1416288_at
Plod1,1416289_at
Psmc4,1416290_a_at
