"GENE NAME" "Class name"
"STMN2" "Neurons"
"SYT1" "Neurons"
"GRIA3" "Neurons"
"DLG3" "Neurons"
"DLG4" "Neurons"
"TUBB3" "Neurons"
"MAP2" "Neurons"
"GFAP" "Astrocytes"
"AQP4" "Astrocytes"
"FGFR3" "Astrocytes"
"SLC1A2" "Astrocytes"
"MBP" "Oligodendrocytes"
"SOX10" "Oligodendrocytes"
"MAG" "Oligodendrocytes"
"MOG" "Oligodendrocytes"
